instances,feature_CL,feature_CLD,feature_DCP,feature_F1,feature_Harmfulness,feature_N1,feature_N2,feature_TD_P,feature_TD_U,feature_kDN,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
2653,0.9343161953155966,0.934316195315597,0.6454630495790459,0.07692307692307693,0.0,0.75,0.0,0.75,0.34615384615384615,1.0,0.9060294304605438,1.21500280641954,1.0661697344601935,1.1151964255454228,1.0910365764545962,1.0695373136043897,1.3108575829603524
2654,0.733649254789009,0.7336492547890087,0.5943600867678959,0.15384615384615385,0.0008054772452678212,0.5,0.0,0.75,0.8076923076923077,0.4,1.1672289819834805,0.6860324921535196,0.6488405256309485,0.63258771873699,0.7116271844565007,0.6521972142631267,0.6457457481565926
2655,0.06093525784872056,0.060935257848720836,0.3545369504209541,0.07692307692307693,0.00035778175313059033,0.0,0.0,0.75,0.46153846153846156,0.2,0.30511980142014433,0.2590868730920341,0.33733773832282815,0.31540422467994145,0.30812795621520167,0.32286672268602434,0.2750268410689313
2656,0.019338190274586053,0.019338190274585887,0.3545369504209541,0.15384615384615385,0.00035778175313059033,0.5,0.5,0.75,0.4230769230769231,0.4,0.46247252825376023,0.42703145669497855,0.37394583433603057,0.3497105299749136,0.43284582397316124,0.3656809905636242,0.4568004995238809
2657,0.7806573163958074,0.7806573163958075,0.6454630495790459,0.15384615384615385,0.003221908981071285,0.3076923076923077,0.0,0.75,0.6538461538461539,0.8,0.9081311181878284,0.52402876106654,0.6795940390157439,0.6661489760446362,0.6040383393973221,0.6864623407970343,0.7210190824712897
2658,0.6783636674764928,0.6783636674764931,0.1565934065934066,0.15384615384615385,0.0,0.0,0.23456790123456783,0.75,0.6153846153846154,0.2,0.41939811284081446,0.21686548107883966,0.4238131238574406,0.3832238605104657,0.36306994168112666,0.44626139099016693,0.3005575292479049
2659,1.4921397450962104e-11,1.492206358477688e-11,0.31016042780748665,0.23076923076923078,0.0,0.0,0.1626311541565778,0.75,0.4230769230769231,0.0,0.43213363216148826,0.2763336877136388,0.2734825911263716,0.2492499684042949,0.19643632765954258,0.23468126909043868,0.2040783038009849
2660,0.19984846016482904,0.1998484601648287,0.40563991323210413,0.15384615384615385,0.0007155635062611807,0.5,0.38,0.75,0.5,0.6,0.8771472492827819,0.525988690403783,0.5591370096617073,0.544406469733097,0.70665738169534,0.592653845871124,0.6192088929984539
2661,0.4741210857638529,0.47412108576385326,0.34860557768924305,0.15384615384615385,0.0004027386226339106,0.3333333333333333,0.4130434782608696,0.75,0.6538461538461539,0.4,0.6077846091510145,0.3955764546371138,0.3737439250195592,0.3352716280185407,0.4881385804849434,0.3752786127818405,0.3556434472229435
2662,0.43631670539112855,0.4363167053911283,0.651394422310757,0.15384615384615385,0.00035778175313059033,1.0,0.5210084033613445,0.75,0.6153846153846154,0.6,0.7048580411897116,0.9846476733502106,1.1977580300473936,1.2899147751647972,0.9705469208304424,1.1694365438432923,0.935640477451583
2663,0.7297799652439436,0.7297799652439435,0.31016042780748665,0.15384615384615385,0.0,0.0,0.0,0.75,0.5769230769230769,0.2,0.5159907455455071,0.2665235468099898,0.4950971810646422,0.4582562177869071,0.2802129220484766,0.5014323998773169,0.48259689222481555
2664,0.0066580463035822435,0.006658046303582299,0.3545369504209541,0.15384615384615385,0.0007155635062611807,1.0,0.6200000000000001,0.75,0.46153846153846156,0.6,1.0913450172482964,0.35005826743691026,0.36468035515918124,0.33881002832363116,0.3887409609386306,0.33610414864970556,0.4422072833759027
2665,0.6313722088026321,0.6313722088026325,0.31016042780748665,0.15384615384615385,0.0,0.25,0.0,0.75,0.4230769230769231,0.0,0.34153662684945163,0.2665235468099898,0.40143233859353733,0.3638140328209202,0.27776249604789044,0.40897476235183744,0.34006018995452053
2666,0.7326732071609483,0.7326732071609477,0.34860557768924305,0.15384615384615385,0.0,0.0,0.28971962616822433,0.75,0.7307692307692307,0.0,0.6812291378339272,0.5854280804458913,0.5014012830652839,0.47030418073649966,0.5035950805705464,0.5152695837006596,0.5640235815161126
2667,0.9747587156978085,0.9747587156978083,0.5943600867678959,0.15384615384615385,0.0,0.0,0.0,0.75,0.6153846153846154,0.4,0.565896381989572,0.9480867131295446,0.900956392278787,0.9290958193117934,0.7855091334482714,0.9208428773150102,0.9032878904828884
2668,0.9294791570586634,0.9294791570586636,0.31016042780748665,0.15384615384615385,0.0004027386226339106,0.3333333333333333,0.5,0.75,0.4230769230769231,0.2,0.37436239144103506,0.37820318587600804,0.5079778015718573,0.47366685831473027,0.292021607271669,0.509405470151778,0.26633539825791464
2669,0.07715350439516722,0.07715350439516733,0.3545369504209541,0.07692307692307693,0.0,0.0,0.0,0.75,0.5,0.4,0.4117312811122251,0.38456849591859776,0.5606981147367411,0.5474625862389237,0.3741223876055729,0.5450217335514795,0.3552377884704103
2670,0.00695812194063794,0.006958121940637885,0.3545369504209541,0.07692307692307693,0.0,0.0,0.0,0.75,0.38461538461538464,0.2,0.29674355039169736,0.28261795967634923,0.3474745720017244,0.32276224203989207,0.2855336082578861,0.317470963052461,0.36894934179697875
2671,0.9208944024887453,0.9208944024887458,0.6454630495790459,0.07692307692307693,0.0,1.0,0.0,0.75,0.5,0.4,0.8451243865145794,1.1732506533016418,0.9059533985764141,0.9342366380854071,1.0988711840333754,0.9300725245151524,1.169002270167768
2672,0.002540821797012427,0.0025408217970127045,0.23450586264656614,0.15384615384615385,0.0007155635062611807,0.5,0.0,0.75,0.6153846153846154,0.2,0.5038072172624627,0.28128333269810885,0.24231853599077285,0.23384859108723094,0.2164889179948597,0.23998332876375322,0.36444049810662693
2673,0.9931886632577334,0.9931886632577336,0.6454630495790459,0.15384615384615385,0.0016109544905356424,0.75,0.5,0.75,0.4230769230769231,0.8,0.8112136029247775,0.9832919792731162,1.1368424969574782,1.1909435713512473,1.019089817697311,1.2042393400637046,1.0668993313870985
2674,0.4994587584087281,0.4994587584087279,0.8434065934065934,0.15384615384615385,0.0,1.0,0.0,0.75,0.4230769230769231,0.8,1.1514259942105984,1.388691019322288,1.0799332800130124,1.1634288479180288,1.3440930144221397,1.0834322919718917,1.2040312640825457
2675,0.16046033879084176,0.16046033879084137,0.23450586264656614,0.07692307692307693,0.0,0.0,0.0,0.75,0.46153846153846156,0.4,0.5812363471931394,0.32953179086915163,0.36943526393513104,0.3443476773500973,0.34424745286232084,0.3715051076065322,0.28978966860745503
2676,0.057627755087270804,0.05762775508727053,0.23450586264656614,0.15384615384615385,0.001073345259391771,0.5714285714285714,0.0,0.75,0.5,0.8,0.8156343291007928,0.39263011838337675,0.46043276918176773,0.43502240390014557,0.45765632489359886,0.46676344636899325,0.47076422670162305
2677,0.0007186932031022497,0.0007186932031027493,0.34860557768924305,0.15384615384615385,0.0,0.0,0.32386363636363635,0.75,0.34615384615384615,0.0,0.3735279012869081,0.39335248423467023,0.1180860009271362,0.14873741662986834,0.44144700024718503,0.11215756884154848,0.38055519629888906
2678,0.9987629691785337,0.9987629691785338,0.7654941373534339,0.07692307692307693,0.003221908981071285,1.0,0.999999999999506,0.75,0.46153846153846156,1.0,1.344684404849505,1.7385206307802137,1.6407785518466738,1.6365117453323887,1.7957084242864536,1.6322601032152757,1.175725228073056
2679,0.8044791582404182,0.8044791582404179,0.6454630495790459,0.15384615384615385,0.0,0.0,0.0,0.75,0.38461538461538464,0.4,0.5500678036977554,1.090008009511256,0.8291798937584309,0.8446641427607517,0.8802037040619869,0.8284603152550489,0.9120997006914306
2680,0.0007955895241440469,0.0007955895241439359,0.23450586264656614,0.15384615384615385,0.0007155635062611807,0.5,0.38,0.75,0.4230769230769231,0.4,0.35958634130092393,0.2625574133936635,0.1990820189142074,0.20443989642964402,0.2094667256777105,0.1996054674447571,0.3268169362105303
2681,0.004150062465755555,0.004150062465755167,0.23450586264656614,0.15384615384615385,0.0,0.5,0.0,0.75,0.5384615384615384,0.4,0.29485070330331004,0.2946112042451681,0.33653186217615577,0.31460528413364963,0.2631009286167668,0.35126750065513607,0.37385649906656226
2682,0.9778479948658343,0.977847994865834,0.6454630495790459,0.07692307692307693,0.0012082158679017317,0.6666666666666666,0.999999999999194,0.75,0.38461538461538464,0.8,1.2981048049575319,1.1732506533016418,1.1513389380413417,1.2062760757111768,1.1777873536676795,1.1882320342865205,1.1828906097882208
2683,0.6795164213008487,0.6795164213008488,0.5943600867678959,0.15384615384615385,0.0004027386226339106,0.5,0.0,0.75,0.8076923076923077,0.6,0.559490275719457,0.6323133228962219,0.5740427347818509,0.5469845329204525,0.6336132175195097,0.5763827961820868,0.5672425332892012
